critic,movie,rating
Burton,Jungle Book,4
Burton,Star Wars Force,4
Charley,Captain America,4
Charley,Deadpool,5
Charley,Frozen,4
Charley,Jungle Book,3
Charley,Pitch Perfect 2,2
Charley,Star Wars Force,3
Dan,Deadpool,5
Dan,Star Wars Force,5
Dieudonne,Captain America,5
Dieudonne,Deadpool,4
Dieudonne,Star Wars Force,5
Matt,Captain America,4
Matt,Frozen,2
Matt,Pitch Perfect 2,2
Matt,Star Wars Force,5
Mauricio,Captain America,4
Mauricio,Frozen,3
Mauricio,Jungle Book,3
Mauricio,Pitch Perfect 2,4
Max,Captain America,4
Max,Deadpool,4
Max,Frozen,4
Max,Jungle Book,2
Max,Pitch Perfect 2,2
Max,Star Wars Force,4
Nathan,Star Wars Force,4
Param,Captain America,4
Param,Deadpool,4
Param,Frozen,1
Param,Star Wars Force,5
Parshu,Captain America,4
Parshu,Deadpool,3
Parshu,Frozen,5
Parshu,Jungle Book,5
Parshu,Pitch Perfect 2,2
Parshu,Star Wars Force,3
Prashanth,Captain America,5
Prashanth,Deadpool,5
Prashanth,Frozen,5
Prashanth,Jungle Book,5
Prashanth,Star Wars Force,4
Shipra,Frozen,4
Shipra,Jungle Book,5
Shipra,Star Wars Force,3
Sreejaya,Captain America,5
Sreejaya,Deadpool,5
Sreejaya,Frozen,5
Sreejaya,Jungle Book,4
Sreejaya,Pitch Perfect 2,4
Sreejaya,Star Wars Force,5
Steve,Captain America,4
Steve,Star Wars Force,4
Vuthy,Captain America,4
Vuthy,Deadpool,5
Vuthy,Frozen,3
Vuthy,Jungle Book,3
Vuthy,Pitch Perfect 2,3
Xingjia,Frozen,5
Xingjia,Jungle Book,5
